Name,Description,Canonical Units,is alias,target,Physical parameters,Edited by author teams,Last Modified By,UID
acoustic_area_backscattering_strength_in_sea_water,"Acoustic area backscattering strength is 10 times the log10 of the ratio of the area backscattering coefficient to the reference value, 1 (m2 m-2). Area backscattering coefficient is the integral of the volume backscattering coefficient over a defined distance. Volume backscattering coefficient is the linear form of acoustic_volume_backscattering_strength_in_sea_water. For further details see MacLennan et. al (2002) doi:10.1006/jmsc.2001.1158.",1,,,,,Data Request co-leads,3ba664b2-8ca2-11ef-944e-41a8eb05f654
acoustic_signal_roundtrip_travel_time_in_sea_water,"The quantity with standard name acoustic_signal_roundtrip_travel_time_in_sea_water is the time taken for an acoustic signal to propagate from the emitting instrument to a reflecting surface and back again to the instrument. In the case of an instrument based on the sea floor and measuring the roundtrip time to the sea surface, the data are commonly used as a measure of ocean heat content.",s,,,,,Data Request co-leads,3ba664b3-8ca2-11ef-944e-41a8eb05f654
acoustic_target_strength_in_sea_water,"Target strength is 10 times the log10 of the ratio of backscattering cross-section to the reference value, 1 m2. Backscattering cross-section is a parameter computed from the intensity of the backscattered sound wave relative to the intensity of the incident sound wave. For further details see MacLennan et. al (2002) doi:10.1006/jmsc.2001.1158.",1,,,,,Data Request co-leads,3ba664b4-8ca2-11ef-944e-41a8eb05f654
acoustic_volume_backscattering_strength_in_sea_water,"Acoustic volume backscattering strength is 10 times the log10 of the ratio of the volume backscattering coefficient to the reference value, 1 m-1. Volume backscattering coefficient is the integral of the backscattering cross-section divided by the volume sampled. Backscattering cross-section is a parameter computed from the intensity of the backscattered sound wave relative to the intensity of the incident sound wave. The parameter is computed to provide a measurement that is proportional to biomass density per unit volume in the field of fisheries acoustics. For further details see MacLennan et. al (2002) doi:10.1006/jmsc.2001.1158.",1,,,,,Data Request co-leads,3ba664b5-8ca2-11ef-944e-41a8eb05f654
aerodynamic_particle_diameter,The diameter of a spherical particle with density 1000 kg m-3 having the same aerodynamic properties as the particles in question.,m,,,,,Data Request co-leads,3ba664b6-8ca2-11ef-944e-41a8eb05f654
aerodynamic_resistance,"The ""aerodynamic_resistance"" is the resistance to mixing through the boundary layer toward the surface by means of the dominant process, turbulent transport. Reference: Wesely, M. L., 1989,  doi:10.1016/0004-6981(89)90153-4.",m-1 s,,,ares,,Data Request co-leads,3ba664b7-8ca2-11ef-944e-41a8eb05f654
aerosol_angstrom_exponent,,,checked,angstrom_exponent_of_ambient_aerosol_in_air,,,Data Request co-leads,3ba9aa5a-8ca2-11ef-944e-41a8eb05f654
aerosol_type_in_atmosphere_layer_in_air,"A variable with the standard_name of aerosol_type_in_atmosphere_layer_in_air contains either strings which indicate the type of the aerosol determined following a certain aerosol typing schema, or flags which can be translated to strings using flag_values and flag_meanings attributes. ""Layer"" means any layer with upper and lower boundaries that have constant values in some vertical coordinate. There must be a vertical coordinate variable indicating the extent of the layer(s).",1,,,,,Data Request co-leads,3ba664b8-8ca2-11ef-944e-41a8eb05f654
age_of_sea_ice,"""Age of sea ice"" means the length of time elapsed since the ice formed. ""Sea ice"" means all ice floating in the sea which has formed from freezing sea water, rather than by other processes such as calving of land ice to form icebergs.",year,,,siage,,Data Request co-leads,3ba664b9-8ca2-11ef-944e-41a8eb05f654
age_of_stratospheric_air,"""Age of stratospheric air"" means an estimate of the time since a parcel of stratospheric air was last in contact with the troposphere.",s,,,meanage,,Data Request co-leads,3ba664ba-8ca2-11ef-944e-41a8eb05f654
age_of_surface_snow,"""Age of surface snow"" means the length of time elapsed since the snow accumulated on the earth's surface. Surface snow refers to the snow on the solid ground or on surface ice cover, but excludes, for example, falling snowflakes and snow on plants.",day,,,agesno,,Data Request co-leads,3ba664bb-8ca2-11ef-944e-41a8eb05f654
aggregate_quality_flag,This flag is an algorithmic combination of the results of all relevant quality tests run for the related ancillary parent data variable. The linkage between the data variable and this variable is achieved using the ancillary_variables attribute. The aggregate quality flag provides a summary of all quality tests performed on the data variable (both automated and manual) whether present in the dataset as independent ancillary variables to the parent data variable or not.,1,,,,,Data Request co-leads,3ba664bc-8ca2-11ef-944e-41a8eb05f654
air_density,,kg m-3,,,,,Data Request co-leads,3ba664bd-8ca2-11ef-944e-41a8eb05f654
