Table	Label	Title	standard_name	uid	str_lab	str_title
Amon	tas	Near-Surface Air Temperature	air_temperature	bab9237c-e5dd-11e5-8482-ac72891c3257	str-116	Temporal mean, Global field (single level) [XY-na] {:height2m} [tmean]
Amon	pr	Precipitation	precipitation_flux	bab3cb52-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
Amon	uas	Eastward Near-Surface Wind	eastward_wind	babb67c2-e5dd-11e5-8482-ac72891c3257	str-d78	Temporal mean, Global field (single level) [XY-na] {:height10m} [tmean]
Amon	vas	Northward Near-Surface Wind	northward_wind	babbcd34-e5dd-11e5-8482-ac72891c3257	str-d78	Temporal mean, Global field (single level) [XY-na] {:height10m} [tmean]
Amon	huss	Near-Surface Specific Humidity	specific_humidity	bab01dfe-e5dd-11e5-8482-ac72891c3257	str-116	Temporal mean, Global field (single level) [XY-na] {:height2m} [tmean]
Amon	rsut	TOA Outgoing Shortwave Radiation	toa_outgoing_shortwave_flux	bab68ebe-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
Amon	rsdt	TOA Incident Shortwave Radiation	toa_incoming_shortwave_flux	bab6219a-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
Amon	rlut	TOA Outgoing Longwave Radiation	toa_outgoing_longwave_flux	bab5aad0-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
Amon	rsus	Surface Upwelling Shortwave Radiation	surface_upwelling_shortwave_flux_in_air	bab6537c-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
Amon	rsds	Surface Downwelling Shortwave Radiation	surface_downwelling_shortwave_flux_in_air	bab5e1b2-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
Amon	rlus	Surface Upwelling Longwave Radiation	surface_upwelling_longwave_flux_in_air	bab578d0-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
Amon	rlds	Surface Downwelling Longwave Radiation	surface_downwelling_longwave_flux_in_air	bab52da8-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
Amon	ps	Surface Air Pressure	surface_air_pressure	bab47b56-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
Amon	ua	Eastward Wind	eastward_wind	babb4b34-e5dd-11e5-8482-ac72891c3257	str-a023	Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]
Amon	va	Northward Wind	northward_wind	babbb25e-e5dd-11e5-8482-ac72891c3257	str-a023	Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]
Amon	zg	Geopotential Height	geopotential_height	babd9ace-e5dd-11e5-8482-ac72891c3257	str-a023	Temporal mean, Global field (19 pressure levels) [XY-P19] [tmean]
Amon	cl	Percentage Cloud Cover	cloud_area_fraction_in_atmosphere_layer	baaa4302-e5dd-11e5-8482-ac72891c3257	str-d49	Temporal mean, Global field on model atmosphere levels [XY-A]
Amon	clt	Total Cloud Cover Percentage	cloud_area_fraction	baaad7e0-e5dd-11e5-8482-ac72891c3257	str-013	Temporal mean, Global field (single level) [XY-na] [am-tm]
AERmon	od550aer	Ambient Aerosol Optical Thickness at 550nm	atmosphere_optical_thickness_due_to_ambient_aerosol_particles	19c01942-81b1-11e6-92de-ac72891c3257	str-913	Temporal mean, Global field (single level) [XY-na] {:lambda550nm} [am-tm]
AERmon	abs550aer	Ambient Aerosol Absorption Optical Thickness at 550nm	atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles	19bebf2a-81b1-11e6-92de-ac72891c3257	str-913	Temporal mean, Global field (single level) [XY-na] {:lambda550nm} [am-tm]
Lmon	cVeg	Carbon Mass in Vegetation	vegetation_carbon_content	baa90258-e5dd-11e5-8482-ac72891c3257	str-041	Temporal mean, Global field (single level) [XY-na] [amnla-tmn]
Lmon	cLitter	Carbon Mass in Litter Pool	litter_mass_content_of_carbon	baa8b67c-e5dd-11e5-8482-ac72891c3257	str-041	Temporal mean, Global field (single level) [XY-na] [amnla-tmn]
Lmon	gpp	Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1]	gross_primary_productivity_of_biomass_expressed_as_carbon	baae7800-e5dd-11e5-8482-ac72891c3257	str-041	Temporal mean, Global field (single level) [XY-na] [amnla-tmn]
Lmon	nbp	Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land [kgC m-2 s-1]	surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes	bab23634-e5dd-11e5-8482-ac72891c3257	str-041	Temporal mean, Global field (single level) [XY-na] [amnla-tmn]
Lmon	npp	Net Primary Production on Land as Carbon Mass Flux [kgC m-2 s-1]	net_primary_productivity_of_biomass_expressed_as_carbon	bab26690-e5dd-11e5-8482-ac72891c3257	str-041	Temporal mean, Global field (single level) [XY-na] [amnla-tmn]
Omon	fgco2	Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1]	surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon	baa0d420-e5dd-11e5-8482-ac72891c3257	str-a061	Temporal mean, Global field (single level) [XY-na] {:depth0m} [amse-tmn]
