variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
thetao,Sea Water Potential Temperature,mon,Omon,793790.87,38270473
ua,Eastward Wind,day,day,634080.14,24480105
ua,Eastward Wind,6hrPt,6hrLev,632951.01,9979344
va,Northward Wind,6hrPt,6hrLev,622742.53,10777582
pr,Precipitation,day,day,611982.43,41114967
va,Northward Wind,day,day,589120.72,29340081
ta,Air Temperature,6hrPt,6hrLev,570897.53,6581871
hus,Specific Humidity,6hrPt,6hrLev,512867.45,2326434
vo,Sea Water Y Velocity,mon,Omon,461564.50,11990540
uo,Sea Water X Velocity,mon,Omon,418343.24,12427810
ta,Air Temperature,day,day,406799.21,21735255
so,Sea Water Salinity,mon,Omon,372928.10,26658085
hus,Specific Humidity,day,day,348663.32,23512806
zg,Geopotential Height,day,day,320832.83,17889217
tas,Near-Surface Air Temperature,day,day,296918.77,27155217
tasmax,Daily Maximum Near-Surface Air Temperature,day,day,295026.24,17491103
ua,Eastward Wind,mon,Amon,264628.67,20658910
tasmin,Daily Minimum Near-Surface Air Temperature,day,day,257467.24,16658505
va,Northward Wind,mon,Amon,253546.28,21512690
ua,Eastward Wind,6hrPt,6hrPlevPt,243595.43,4111828
va,Northward Wind,6hrPt,6hrPlevPt,241649.66,7552444
ua,,day,day,235662.19,4127338
hur,Relative Humidity,day,day,232898.26,11577482
ta,Air Temperature,6hrPt,6hrPlevPt,219635.37,4937860
pr,Precipitation,3hr,3hr,210410.28,1083505
va,Northward Wind,day,CFday,202593.66,156344
wap,Omega (=dp/dt),day,day,198613.12,14551286
tos,Sea Surface Temperature,day,Oday,195180.06,8840230
wo,Sea Water Vertical Velocity,mon,Omon,185272.16,12489729
ta,Air Temperature,mon,Amon,182598.41,12592527
ua,Eastward Wind,day,CFday,182062.22,23442
thetao,,mon,Omon,179474.00,5547881
hus,Specific Humidity,day,CFday,170354.65,18008
hus,Specific Humidity,mon,Amon,166836.21,11280874
zg,Geopotential Height,mon,Amon,158157.88,10424738
hur,Relative Humidity,day,CFday,154593.46,3222458
zg,Geopotential Height,6hrPt,6hrPlevPt,151396.60,318146
va,,day,day,140135.15,4543013
hus,Specific Humidity,6hrPt,6hrPlevPt,139574.19,155692
ta,Air Temperature,day,CFday,139094.41,18524
vo,,mon,Omon,138144.71,1225758
hurs,Near-Surface Relative Humidity,day,day,135524.39,9290421
pr,,day,day,135213.04,7002128
wap,Omega (=dp/dt),mon,Amon,133247.76,8821175
zg,Geopotential Height,day,CFday,128920.40,24272
vmo,Ocean Mass Y Transport,mon,Omon,121308.69,179254
wap,Omega (=dp/dt),day,CFday,115506.41,11858
psl,Sea Level Pressure,day,day,114570.92,1523313
sfcwind,Near-Surface Wind Speed,day,day,114283.46,8951087
umo,Ocean Mass X Transport,mon,Omon,109854.95,353714
uo,,mon,Omon,106603.23,1208541
so,,mon,Omon,105002.38,5185268
no3,Dissolved Nitrate Concentration,mon,Omon,96178.15,57699
hus,Specific Humidity,day,Eday,93662.33,39763
pr,Precipitation,1hr,E1hr,90124.96,791888
ua,Eastward Wind,day,Eday,90009.34,88442
wmo,Upward Ocean Mass Transport,mon,Omon,89316.67,252142
ua,,6hrPt,6hrLev,89201.18,147031
rsds,Surface Downwelling Shortwave Radiation,day,day,89175.83,5338475
tasmax,,day,day,88789.98,4971203
va,,6hrPt,6hrLev,86227.40,84147
va,Northward Wind,day,Eday,85733.98,62032
huss,Near-Surface Specific Humidity,day,day,85519.49,918355
o2,Dissolved Oxygen Concentration,mon,Omon,85249.38,6551478
hus,,day,day,84451.28,1781282
vas,Northward Near-Surface Wind,day,day,83018.61,2795573
hus,,6hrPt,6hrLev,82792.10,13008
uas,Eastward Near-Surface Wind,day,day,81990.15,2530560
hur,Relative Humidity,mon,Amon,81119.58,4498363
ta,Air Temperature,day,Eday,79671.92,2035720
po4,Total Dissolved Inorganic Phosphorus Concentration,mon,Omon,78192.22,42950
dissic,Dissolved Inorganic Carbon Concentration,mon,Omon,76364.24,1929649
zg,Geopotential Height,day,Eday,74351.88,370580
ph,pH,mon,Omon,71092.10,4567353
tas,,day,day,70578.30,7429880
ua,,mon,Amon,70257.06,2743143
ta,,6hrPt,6hrLev,69709.58,40787
cl,Percentage Cloud Cover,mon,Amon,69627.79,2245200
zg,,day,day,68620.68,1152741
tasmin,,day,day,67961.84,4052368
ta,,day,day,67740.80,3716109
tos,Sea Surface Temperature,mon,Omon,67008.94,8421745
agessc,Sea Water Age Since Surface Contact,mon,Omon,66904.54,268805
tas,Near-Surface Air Temperature,3hrPt,3hr,66608.78,217014
uas,Eastward Near-Surface Wind,3hrPt,3hr,66314.67,53297
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,65535.11,545688
cli,Mass Fraction of Cloud Ice,day,CFday,65280.19,8372
vas,Northward Near-Surface Wind,3hrPt,3hr,64278.07,57120
va,,mon,Amon,63808.85,2980263
si,Total Dissolved Inorganic Silicon Concentration,mon,Omon,62656.78,37724
talk,Total Alkalinity,mon,Omon,60707.17,473447
huss,Near-Surface Specific Humidity,3hrPt,3hr,57968.26,61049
thkcello,Ocean Model Cell Thickness,mon,Omon,57654.16,138177
cl,Percentage Cloud Cover,day,CFday,55310.91,10951
pr,Precipitation,mon,Amon,54197.84,10681177
rlds,Surface Downwelling Longwave Radiation,day,day,50836.76,2191543
clw,Mass Fraction of Cloud Liquid Water,day,CFday,50150.17,10071
tas,Near-Surface Air Temperature,mon,Amon,48951.18,12966384
pfull,Pressure at Model Full-Levels,day,CFday,47758.95,13016
uas,Eastward Near-Surface Wind,3hr,3hr,46878.00,42982
tas,Near-Surface Air Temperature,3hr,3hr,46309.07,50064
ta,Air Temperature,mon,CFmon,46274.40,162841
ua,Eastward Wind,mon,AERmon,46269.01,1354634
bigthetao,Sea Water Conservative Temperature,mon,Omon,46050.92,101478
vas,Northward Near-Surface Wind,3hr,3hr,45201.53,42534
huss,Near-Surface Specific Humidity,3hr,3hr,44548.34,37919
wap,Omega (=dp/dt),day,Eday,44508.33,212328
cli,Mass Fraction of Cloud Ice,mon,Amon,44293.32,1875437
hus,Specific Humidity,mon,CFmon,44051.83,263016
va,Northward Wind,mon,AERmon,43683.35,303020
rsds,Surface Downwelling Shortwave Radiation,3hr,3hr,43162.87,51358
obvfsq,Square of Brunt Vaisala Frequency in Sea Water,mon,Omon,42569.23,55785
wo,,mon,Omon,42332.72,1678489
ta,,6hrPt,6hrPlevPt,42259.50,25487
masscello,Ocean Grid-Cell Mass per Area,mon,Omon,42194.82,124049
hur,,day,day,42052.16,1743192
rlut,TOA Outgoing Longwave Radiation,day,day,41366.37,3325135
dissoc,Dissolved Organic Carbon Concentration,mon,Omon,41021.00,61213
ta,,mon,Amon,40546.39,2990498
pr,,3hr,3hr,40407.53,43387
va,,6hrPt,6hrPlevPt,40364.23,212444
dfe,Dissolved Iron Concentration,mon,Omon,40351.14,14328
clw,Mass Fraction of Cloud Liquid Water,mon,Amon,40008.18,64844
ua,,6hrPt,6hrPlevPt,39952.33,311962
tos,,day,Oday,39074.58,4184458
psl,Sea Level Pressure,6hrPt,6hrPlevPt,38899.31,1184067
zg,,6hrPt,6hrPlevPt,38674.49,12209
tos,Sea Surface Temperature,3hrPt,3hr,38186.37,22002
hfls,Surface Upward Latent Heat Flux,day,day,37481.22,683216
rlds,Surface Downwelling Longwave Radiation,3hr,3hr,36703.27,36268
nh4,Dissolved Ammonium Concentration,mon,Omon,36502.99,6490
zg,Geopotential Height,mon,AERmon,36392.54,576413
co3,Carbonate Ion Concentration,mon,Omon,35824.21,151599
hfss,Surface Upward Sensible Heat Flux,day,day,35577.93,610223
uas,Eastward Near-Surface Wind,3hr,E3hr,34743.51,23818
phyc,Phytoplankton Carbon Concentration,mon,Omon,34274.56,33188
zg,,mon,Amon,34080.50,1093081
hus,,mon,Amon,34038.91,1186102
expc,Downward Flux of Particulate Organic Carbon,mon,Omon,33471.89,301197
vas,Northward Near-Surface Wind,3hr,E3hr,33239.44,22482
hus,Specific Humidity,6hr,6hrLev,32440.91,2446
hus,Specific Humidity,subhrPt,Esubhr,32201.47,2880
sfcwindmax,Daily Maximum Near-Surface Wind Speed,day,day,32100.14,423231
zooc,Zooplankton Carbon Concentration,mon,Omon,31817.28,20421
o3,Mole Fraction of O3,mon,AERmon,30874.08,1879386
hfls,Surface Upward Latent Heat Flux,3hr,3hr,30156.22,133791
ta,Air Temperature,6hr,6hrLev,29978.45,3481
hus,,6hrPt,6hrPlevPt,29494.20,5717
hfss,Surface Upward Sensible Heat Flux,3hr,3hr,29493.61,19943
ta,Air Temperature,subhrPt,Esubhr,28570.71,2907
phalf,Pressure on Model Half-Levels,day,CFday,28471.73,7011
wap,,day,day,28257.22,828681
prsn,Snowfall Flux,day,day,27783.68,298013
pp,Primary Carbon Production by Phytoplankton,mon,Omon,27372.47,24636
tnhus,Tendency of Specific Humidity,subhrPt,Esubhr,26157.36,1765
hur,Relative Humidity,mon,CFmon,26128.59,295609
sfcwind,Near-Surface Wind Speed,3hr,E3hr,26071.18,2093135
mrsol,Total Water Content of Soil Layer,day,Eday,25932.44,1453360
prc,Convective Precipitation,day,day,25450.56,1072999
tnt,Tendency of Air Temperature,subhrPt,Esubhr,25341.35,1723
clt,Total Cloud Cover Percentage,day,day,25327.10,2064949
tas,Near-Surface Air Temperature,1hr,AERhr,25309.68,11552
detoc,Detrital Organic Carbon Concentration,mon,Omon,24806.60,10886
wap,Omega (=dp/dt),subhrPt,Esubhr,24704.80,1750
mmrdust,Dust Aerosol Mass Mixing Ratio,mon,AERmon,24610.15,67197
va,Northward Wind,subhrPt,Esubhr,24564.98,1744
wap,,mon,Amon,24493.80,959745
zg,,day,Eday,23747.82,30250
hursmin,Daily Minimum Near-Surface Relative Humidity,day,day,23614.40,249248
mmrss,Sea-Salt Aerosol Mass Mixing Ratio,mon,AERmon,23588.79,61261
ua,Eastward Wind,subhrPt,Esubhr,23453.50,1712
rsdo,Downwelling Shortwave Radiation in Sea Water,mon,Omon,23299.40,10827
ps,Surface Air Pressure,3hrPt,3hr,22835.65,177463
ua,Eastward Wind,6hr,6hrLev,22678.39,2704
rlus,Surface Upwelling Longwave Radiation,day,day,22534.33,1389166
va,Northward Wind,6hr,6hrLev,22336.58,2696
rlus,Surface Upwelling Longwave Radiation,3hr,3hr,22088.15,41221
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mon,Omon,21997.86,5443
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mon,Omon,21968.51,5797
hur,,mon,Amon,21597.22,733522
calc,Calcite Concentration,mon,Omon,21394.22,85630
tos,,mon,Omon,21176.15,1872143
siconc,Sea-Ice Area Percentage (Ocean Grid),day,SIday,21034.22,853299
mmrbc,Elemental Carbon Mass Mixing Ratio,mon,AERmon,20955.35,66922
mmrso4,Aerosol Sulfate Mass Mixing Ratio,mon,AERmon,20877.80,58299
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mon,Omon,20667.23,9326
psl,Sea Level Pressure,mon,Amon,20387.37,4224098
psl,,day,day,20378.62,1226012
hurs,,day,day,20261.18,1011106
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mon,Omon,20220.96,25783
zos,Sea Surface Height Above Geoid,mon,Omon,20116.11,1418412
psl,Sea Level Pressure,6hr,6hrPlev,20076.23,60839
volcello,Ocean Grid-Cell Volume,mon,Omon,20044.75,18202
zmeso,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mon,Omon,19586.83,9946
rsus,Surface Upwelling Shortwave Radiation,day,day,19501.59,1364734
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mon,Omon,19231.45,5985
va,Northward Wind,3hrPt,E3hrPt,19173.03,6660
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mon,Omon,18648.42,6308
tas,,3hr,3hr,18326.28,200566
o3,Mole Fraction of O3,mon,Amon,18212.16,158294
graz,Total Grazing of Phytoplankton by Zooplankton,mon,Omon,17845.72,11743
tdps,2m Dewpoint Temperature,day,Eday,17755.20,30137
tnt,Tendency of Air Temperature,mon,CFmon,17476.94,8357
ps,Surface Air Pressure,day,CFday,16872.31,167326
hur,,day,CFday,16811.41,2097
sos,Sea Surface Salinity,day,Oday,16745.35,15748
expfe,Sinking Particulate Iron Flux,mon,Emon,16659.82,5812
zmicro,Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mon,Omon,16607.50,3987
phyfe,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mon,Omon,16352.08,5755
ua,Eastward Wind,3hr,E3hrPt,16220.03,7032
ua,Eastward Wind,6hr,6hrPlevPt,16151.08,30038
va,Northward Wind,6hr,6hrPlevPt,16104.73,29293
vas,Northward Near-Surface Wind,6hrPt,6hrPlevPt,16059.11,30411
zg500,Geopotential Height at 500hPa,day,AERday,15986.83,251872
pr,,1hr,E1hr,15981.94,238541
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,15891.08,3292
tossq,Square of Sea Surface Temperature,day,Oday,15583.33,36627
rsus,Surface Upwelling Shortwave Radiation,3hr,3hr,15392.94,30527
ts,Surface Temperature,mon,Amon,15320.04,3035037
ua,Eastward Wind,3hrPt,E3hrPt,15229.91,5255
physi,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mon,Omon,15203.27,3410
