variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
ua,Eastward Wind,6hrPt,6hrLev,954141.32,74454
va,Northward Wind,6hrPt,6hrLev,953079.57,69726
hus,Specific Humidity,6hrPt,6hrLev,833199.13,61598
ta,Air Temperature,6hrPt,6hrLev,827727.05,72791
thetao,Sea Water Potential Temperature,mon,Omon,658143.83,736315
ua,Eastward Wind,day,day,584294.93,415449
va,Northward Wind,day,day,557041.57,391296
ua,Eastward Wind,mon,Amon,531157.24,1531153
pr,Precipitation,day,day,513854.03,2280924
vo,Sea Water Y Velocity,mon,Omon,395217.53,391119
ta,Air Temperature,day,day,368226.14,349242
uo,Sea Water X Velocity,mon,Omon,347753.92,344604
hus,Specific Humidity,day,day,320906.23,227429
so,Sea Water Salinity,mon,Omon,312317.10,409035
zg,Geopotential Height,day,day,285761.80,285382
tas,Near-Surface Air Temperature,day,day,277239.19,1532149
tasmax,Daily Maximum Near-Surface Air Temperature,day,day,259392.83,1526610
ua,Eastward Wind,6hrPt,6hrPlevPt,242250.98,75191
va,Northward Wind,6hrPt,6hrPlevPt,232169.63,70203
va,Northward Wind,mon,Amon,223487.86,1230088
tasmin,Daily Minimum Near-Surface Air Temperature,day,day,222563.87,1326215
hur,Relative Humidity,day,day,202337.99,116230
va,Northward Wind,day,CFday,191151.87,15728
wap,Omega (=dp/dt),day,day,189962.11,107025
tos,Sea Surface Temperature,day,Oday,183141.41,272756
ta,Air Temperature,6hrPt,6hrPlevPt,183021.91,57292
ua,Eastward Wind,day,CFday,181196.50,15901
pr,Precipitation,3hr,3hr,172167.16,140049
hus,Specific Humidity,day,CFday,169548.43,15493
hur,Relative Humidity,day,CFday,158928.62,16047
wo,Sea Water Vertical Velocity,mon,Omon,153462.21,100152
ta,Air Temperature,mon,Amon,151365.58,1113583
zg,Geopotential Height,6hrPt,6hrPlevPt,149150.38,27845
zg,Geopotential Height,mon,Amon,138144.54,1181368
ta,Air Temperature,day,CFday,135848.30,13427
hus,Specific Humidity,6hrPt,6hrPlevPt,134282.04,15016
hus,Specific Humidity,mon,Amon,130298.29,807755
zg,Geopotential Height,day,CFday,125044.98,12567
hurs,Near-Surface Relative Humidity,day,day,119805.53,529990
wap,Omega (=dp/dt),mon,Amon,106993.50,520566
wap,Omega (=dp/dt),day,CFday,106975.14,9858
psl,Sea Level Pressure,day,day,103583.01,536898
sfcwind,Near-Surface Wind Speed,day,day,97753.37,386606
tas,Near-Surface Air Temperature,3hrPt,3hr,93267.65,88686
vas,Northward Near-Surface Wind,3hrPt,3hr,90669.47,64331
uas,Eastward Near-Surface Wind,3hrPt,3hr,90668.68,63085
vmo,Ocean Mass Y Transport,mon,Omon,87632.20,95446
ua,Eastward Wind,day,Eday,87202.92,33551
pr,Precipitation,1hr,E1hr,85276.01,16126
no3,Dissolved Nitrate Concentration,mon,Omon,82970.82,32160
umo,Ocean Mass X Transport,mon,Omon,80843.73,88269
rsds,Surface Downwelling Shortwave Radiation,day,day,78406.83,339975
va,Northward Wind,day,Eday,78198.45,27716
huss,Near-Surface Specific Humidity,3hrPt,3hr,76395.34,56481
uas,Eastward Near-Surface Wind,day,day,76098.58,372105
vas,Northward Near-Surface Wind,day,day,75243.19,361220
hus,Specific Humidity,day,Eday,75077.76,22602
tos,Sea Surface Temperature,mon,Omon,71644.47,2377031
zg,Geopotential Height,day,Eday,70691.66,33259
po4,Total Dissolved Inorganic Phosphorus Concentration,mon,Omon,70354.36,21085
o2,Dissolved Oxygen Concentration,mon,Omon,70264.16,33369
dissic,Dissolved Inorganic Carbon Concentration,mon,Omon,70071.19,29310
wmo,Upward Ocean Mass Transport,mon,Omon,68840.49,71920
huss,Near-Surface Specific Humidity,day,day,67722.46,301338
hur,Relative Humidity,mon,Amon,66949.83,346396
cli,Mass Fraction of Cloud Ice,day,CFday,66248.70,7547
ta,Air Temperature,day,Eday,66212.84,38658
ph,pH,mon,Omon,63158.46,23547
cl,Percentage Cloud Cover,day,CFday,60047.98,10771
cl,Percentage Cloud Cover,mon,Amon,59706.01,65275
si,Total Dissolved Inorganic Silicon Concentration,mon,Omon,56554.73,17312
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,56515.20,25398
clw,Mass Fraction of Cloud Liquid Water,day,CFday,55053.72,9667
talk,Total Alkalinity,mon,Omon,54811.91,22267
agessc,Sea Water Age Since Surface Contact,mon,Omon,49658.97,19224
thkcello,Ocean Model Cell Thickness,mon,Omon,48781.58,60875
rlds,Surface Downwelling Longwave Radiation,day,day,47761.26,210408
tos,Sea Surface Temperature,3hrPt,3hr,46037.84,15458
psl,Sea Level Pressure,6hrPt,6hrPlevPt,43774.88,74517
ta,Air Temperature,mon,CFmon,43352.73,51208
pr,Precipitation,mon,Amon,42910.02,4124534
pfull,Pressure at Model Full-Levels,day,CFday,42540.71,6776
bigthetao,Sea Water Conservative Temperature,mon,Omon,42111.80,73925
ua,Eastward Wind,mon,AERmon,41552.43,32229
ps,Surface Air Pressure,3hrPt,3hr,41172.57,33713
obvfsq,Square of Brunt Vaisala Frequency in Sea Water,mon,Omon,38744.26,46133
va,Northward Wind,mon,AERmon,38395.30,28712
tas,Near-Surface Air Temperature,mon,Amon,38108.10,4806396
dissoc,Dissolved Organic Carbon Concentration,mon,Omon,38080.25,11944
hus,Specific Humidity,mon,CFmon,37850.88,35280
cli,Mass Fraction of Cloud Ice,mon,Amon,37683.83,37300
rlds,Surface Downwelling Longwave Radiation,3hr,3hr,37572.18,25055
uas,Eastward Near-Surface Wind,3hr,E3hr,36420.39,22726
rsds,Surface Downwelling Shortwave Radiation,3hr,3hr,36287.14,38638
rlut,TOA Outgoing Longwave Radiation,day,day,35897.05,138454
dfe,Dissolved Iron Concentration,mon,Omon,35585.35,11025
clw,Mass Fraction of Cloud Liquid Water,mon,Amon,35352.62,42078
hfls,Surface Upward Latent Heat Flux,day,day,34828.61,126491
sfcwindmax,Daily Maximum Near-Surface Wind Speed,day,day,34617.36,140390
masscello,Ocean Grid-Cell Mass per Area,mon,Omon,34277.56,79702
nh4,Dissolved Ammonium Concentration,mon,Omon,34161.97,6000
vas,Northward Near-Surface Wind,3hr,E3hr,33981.29,20846
co3,Carbonate Ion Concentration,mon,Omon,33428.00,9585
wap,Omega (=dp/dt),day,Eday,32139.57,10715
hfss,Surface Upward Sensible Heat Flux,day,day,31548.81,113423
zg,Geopotential Height,mon,AERmon,31506.40,36799
mrsol,Total Water Content of Soil Layer,day,Eday,30812.26,22331
sfcwind,Near-Surface Wind Speed,3hr,E3hr,30297.03,16676
phyc,Phytoplankton Carbon Concentration,mon,Omon,30074.44,13561
expc,Downward Flux of Particulate Organic Carbon,mon,Omon,29050.32,8535
hfls,Surface Upward Latent Heat Flux,3hr,3hr,28504.95,17936
hfss,Surface Upward Sensible Heat Flux,3hr,3hr,28326.26,16708
o3,Mole Fraction of O3,mon,AERmon,28018.78,30395
tas,Near-Surface Air Temperature,1hr,AERhr,25973.65,10320
zooc,Zooplankton Carbon Concentration,mon,Omon,25786.02,11870
phalf,Pressure on Model Half-Levels,day,CFday,25082.19,5504
hur,Relative Humidity,mon,CFmon,24843.94,20428
prc,Convective Precipitation,day,day,24038.41,167417
ta,Air Temperature,subhrPt,Esubhr,23299.81,2285
clt,Total Cloud Cover Percentage,day,day,22960.98,106949
psl,Sea Level Pressure,6hr,6hrPlev,22757.24,55928
pp,Primary Carbon Production by Phytoplankton,mon,Omon,22667.81,9138
tnhus,Tendency of Specific Humidity,subhrPt,Esubhr,21014.64,1374
rlus,Surface Upwelling Longwave Radiation,day,day,20917.73,79400
hus,Specific Humidity,subhrPt,Esubhr,20772.34,1837
prsn,Snowfall Flux,day,day,20723.90,184022
detoc,Detrital Organic Carbon Concentration,mon,Omon,20626.86,7667
mmrdust,Dust Aerosol Mass Mixing Ratio,mon,AERmon,20271.60,17576
siconc,Sea-Ice Area Percentage (Ocean Grid),day,SIday,20142.46,146278
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mon,Omon,20113.73,4661
rsdo,Downwelling Shortwave Radiation in Sea Water,mon,Omon,19750.95,7063
wap,Omega (=dp/dt),subhrPt,Esubhr,19718.06,1346
mmrss,Sea-Salt Aerosol Mass Mixing Ratio,mon,AERmon,19677.27,17138
tnt,Tendency of Air Temperature,subhrPt,Esubhr,19629.27,1324
va,Northward Wind,subhrPt,Esubhr,19623.03,1339
hursmin,Daily Minimum Near-Surface Relative Humidity,day,day,19132.00,78444
rlus,Surface Upwelling Longwave Radiation,3hr,3hr,18774.25,12514
mmrso4,Aerosol Sulfate Mass Mixing Ratio,mon,AERmon,18678.40,19325
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mon,Omon,18568.78,4110
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mon,Omon,18544.74,7075
calc,Calcite Concentration,mon,Omon,18536.85,5721
rsus,Surface Upwelling Shortwave Radiation,day,day,18527.84,64129
ua,Eastward Wind,subhrPt,Esubhr,18511.46,1311
zos,Sea Surface Height Above Geoid,mon,Omon,18494.12,712387
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mon,Omon,17520.29,6079
mmrbc,Elemental Carbon Mass Mixing Ratio,mon,AERmon,17480.08,18998
o3,Mole Fraction of O3,mon,Amon,17184.59,29516
zg500,Geopotential Height at 500hPa,day,AERday,17089.06,91833
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mon,Omon,16678.70,4448
tdps,2m Dewpoint Temperature,day,Eday,16628.80,24744
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mon,Omon,16482.85,4823
ua,Eastward Wind,6hr,6hrPlevPt,16261.36,29208
va,Northward Wind,6hr,6hrPlevPt,16223.54,28012
ua,Eastward Wind,3hr,E3hrPt,16215.77,7004
clt,Total Cloud Cover Percentage,3hr,3hr,16144.74,15558
zmeso,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mon,Omon,16092.45,2993
psl,Sea Level Pressure,mon,Amon,15953.59,2366654
expfe,Sinking Particulate Iron Flux,mon,Emon,15752.62,5194
tnt,Tendency of Air Temperature,mon,CFmon,15596.01,5887
graz,Total Grazing of Phytoplankton by Zooplankton,mon,Omon,15594.28,5218
ps,Surface Air Pressure,day,CFday,15449.04,47422
ta,Air Temperature,3hrPt,CF3hr,15074.25,2598
volcello,Ocean Grid-Cell Volume,mon,Omon,14888.55,9567
